"# THE WORKING COPY — this file at the art library root is the list the owner works from. The suite regenerates it (and a mirror under build/_image-prompts/) via npm run art-worklist in the suite repo; edit nothing by hand."
"# ART WORK LIST — generated by `node tools/gen-art-worklist.mjs` (npm run art-worklist). Regenerate rather than editing by hand."
"# FILENAMES USE HYPHENS (thri-kreen.webp) — NOT underscores (thri_kreen.webp). The sidecar wiring keys art to hyphenated entry-key slugs; a file named with underscores will never be found."
"# The filename is the slug of the document key (flags.<module>.key after the last dot) + .webp — never the build/ JSON filename, which can disagree with it."
"# The full save path opens every notes cell — every path points into the standalone art library (C:/Projects/FoundryVTT/DakksUltimateTokens/art/<kind-dir>/<slug>.webp). The library is edition-agnostic: the SAME slug reached from two packs or modules is ONE shared file, and the notes name every entry it serves."
"# THE LOOP: generate a batch -> save each file at the exact path in its notes cell -> npm run build in the suite (the build resolves library art by existence; a misnamed file silently does nothing — check the name against this CSV) -> reload Foundry."
"# Creature tokens: PNG with alpha first, verify per IMAGE-BRIEF.md §9, then convert to .webp. Sizes: Tiny–Large 512px, Huge 1024px, Gargantuan 1536px."
"# P1 = generate first (this module). P2 = later. P3 = a real library icon already exists — only for a unified look."
"# emblem = non-physical subject rendered as an item-icon-style sigil/effect; not in the original six kinds, added for full coverage (spells, proficiencies, skills, abilities, tables, journals). Classes are kind 'npc' (class portrait — archetypal member)."
"# CANON BACKLOG rows (kind monster, P3, no suite slot yet) merge the 5e SRD monster list (CC-BY mechanical fields only) with the Too Many Tokens name list (names only), deduped against our own creature rows — art pre-made for future campaigns/editions."
"filename","display_name","kind","size","token_type","visual_brief","priority","notes"
"cloud-giant.webp","Cloud Giant","monster","Huge","top-down","Huge (24 ft tall), massively built, a heavy slamming limb, sheathed in fused armour plating, carrying crafted gear, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/cloud-giant.webp; placeholder library icon today — this is the real art gap"
"cryohydra.webp","Cryohydra","monster","Gargantuan","top-down","Colossal (30 ft long), five biting heads, hard scaled or chitinous shell, distended throat or vent","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/cryohydra.webp; placeholder library icon today — this is the real art gap"
"fire-giant.webp","Fire Giant","monster","Huge","top-down","Huge (21 ft tall), massively built, a heavy slamming limb, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/fire-giant.webp; placeholder library icon today — this is the real art gap"
"frost-giant.webp","Frost Giant","monster","Huge","top-down","Huge (18 ft tall), massively built, a heavy slamming limb, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/frost-giant.webp; placeholder library icon today — this is the real art gap"
"gnoll.webp","Gnoll","monster","Large","top-down","Large (7 ft tall), armed with carried weapons, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/gnoll.webp; placeholder library icon today — this is the real art gap"
"goblin.webp","Goblin","monster","Small","top-down","Small (4 ft tall), armed with carried weapons, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/goblin.webp; placeholder library icon today — this is the real art gap"
"half-ogre.webp","Half-Ogre","monster","Large","top-down","Large (8 to 9 ft tall), armed with carried weapons, wearing strapped armour, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/half-ogre.webp; placeholder library icon today — this is the real art gap"
"half-orc.webp","Half-Orc","monster","Medium","top-down","Man-sized (6 ft tall), armed with carried weapons, wearing strapped armour, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/half-orc.webp; placeholder library icon today — this is the real art gap"
"hobgoblin.webp","Hobgoblin","monster","Medium","top-down","Man-sized (6 ft tall), armed with carried weapons, wearing strapped armour, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/hobgoblin.webp; placeholder library icon today — this is the real art gap"
"hydra.webp","Hydra","monster","Gargantuan","top-down","Colossal (30 ft long), five biting heads, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/hydra.webp; placeholder library icon today — this is the real art gap"
"lizard-fire.webp","Lizard, Fire","monster","Gargantuan","top-down","Colossal (30 ft long), massively built, two clawed limbs and a biting head, heavy bony or chitinous plating, distended throat or vent","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/lizard-fire.webp; placeholder library icon today — this is the real art gap"
"lizard-minotaur.webp","Lizard, Minotaur","monster","Gargantuan","top-down","Colossal (40 ft long), two clawed limbs and a biting head, hard scaled or chitinous shell, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/lizard-minotaur.webp; placeholder library icon today — this is the real art gap"
"lizardman.webp","Lizardman","monster","Medium","top-down","Man-sized (7 ft tall), two clawed limbs and a biting head, hard scaled or chitinous shell, a swimmer","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/lizardman.webp; placeholder library icon today — this is the real art gap"
"minotaur.webp","Minotaur","monster","Large","top-down","Large (7 ft or more tall), two forward-pointing horns, tough leathery hide, reinforced ramming front","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/minotaur.webp; placeholder library icon today — this is the real art gap"
"ogre.webp","Ogre","monster","Large","top-down","Large (9 ft tall), a heavy slamming limb, hard scaled or chitinous shell, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/ogre.webp; placeholder library icon today — this is the real art gap"
"orc.webp","Orc","monster","Medium","top-down","Man-sized (6 ft tall), armed with carried weapons, wearing strapped armour, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/orc.webp; placeholder library icon today — this is the real art gap"
"troll.webp","Troll","monster","Large","top-down","Large (9 ft tall), two clawed limbs and a biting head, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/troll.webp; placeholder library icon today — this is the real art gap"
"baazrag.webp","Baazrag","monster","Tiny","top-down","Tiny (2 ft long), one dominant natural weapon, likely a small biting mouth, hard scaled or chitinous shell, long running legs, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/baazrag.webp; placeholder library icon today — this is the real art gap"
"baazrag-boneclaw.webp","Baazrag, Boneclaw","monster","Large","top-down","Large (8 ft tall), two heavy clawed forelimbs plus a maw big enough to take an arm, sheathed in fused armour plating, long running legs, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/baazrag-boneclaw.webp; placeholder library icon today — this is the real art gap"
"brohg.webp","B’rohg","monster","Huge","top-down","Huge (15 ft tall), four identical immense crushing limbs, wearing strapped armour","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/brohg.webp; placeholder library icon today — this is the real art gap"
"carru.webp","Carru","monster","Large","top-down","Large (10 ft long), two identical heavy clawed forelimbs, tough leathery hide, reinforced ramming front, muted olive-and-bark colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/carru.webp; placeholder library icon today — this is the real art gap"
"cilops.webp","Cilops","monster","Huge","top-down","Huge (15 ft), two identical massive taloned limbs, heavy bony or chitinous plating, bleached salt-white","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/cilops.webp; placeholder library icon today — this is the real art gap"
"crodlu.webp","Crodlu","monster","Large","top-down","Large (10 ft or more tall), four heavy clawed forelimbs plus a wide fanged maw, hard scaled or chitinous shell, long running legs, long grasping appendages, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/crodlu.webp; placeholder library icon today — this is the real art gap"
"dagorran.webp","Dagorran","monster","Medium","top-down","Man-sized (4 to 6 ft long), a biting head, tough leathery hide, coiled leaping hind legs, dull straw-and-dust colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/dagorran.webp; placeholder library icon today — this is the real art gap"
"drik.webp","Drik","monster","Gargantuan","top-down","Colossal (36 ft long), massively built, an immense crushing limb plus a maw big enough to take a person whole, heavy bony or chitinous plating, reinforced ramming front, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/drik.webp; placeholder library icon today — this is the real art gap"
"dune-reaper-drone.webp","Dune Reaper (Drone)","monster","Large","top-down","Large (8 ft tall), two immense crushing limbs plus a maw big enough to take a person whole, heavy bony or chitinous plating, coiled leaping hind legs","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/dune-reaper-drone.webp; placeholder library icon today — this is the real art gap"
"dune-reaper-warrior.webp","Dune Reaper (Warrior)","monster","Large","top-down","Large (10 ft tall), massively built, two immense crushing limbs plus a maw big enough to take a person whole, sheathed in fused armour plating, coiled leaping hind legs","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/dune-reaper-warrior.webp; placeholder library icon today — this is the real art gap"
"erdland.webp","Erdland","monster","Large","top-down","Large (10 ft long), two identical heavy clawed forelimbs, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/erdland.webp; placeholder library icon today — this is the real art gap"
"heavy-crodlu.webp","Heavy Crodlu","monster","Large","top-down","Large (12 ft or more tall), four heavy clawed forelimbs plus a maw big enough to take an arm, hard scaled or chitinous shell, long running legs, reinforced ramming front, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/heavy-crodlu.webp; placeholder library icon today — this is the real art gap"
"id-fiend.webp","Id Fiend","monster","Large","top-down","Large (10 ft long), two heavy clawed forelimbs plus a wide fanged maw, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/id-fiend.webp; placeholder library icon today — this is the real art gap"
"jhakar.webp","Jhakar","monster","Small","top-down","Small (2 ft tall), one dominant natural weapon, likely a biting mouth set with teeth, hard scaled or chitinous shell, dull straw-and-dust colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/jhakar.webp; placeholder library icon today — this is the real art gap"
"kank-wild.webp","Kank, Wild","monster","Large","top-down","Large (8 ft long), two identical heavy clawed forelimbs, hard scaled or chitinous shell, visible venom apparatus, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/kank-wild.webp; placeholder library icon today — this is the real art gap"
"kirre.webp","Kirre","monster","Large","top-down","Large (8 ft long), six heavy clawed forelimbs plus a wide fanged maw, tough leathery hide, muted olive-and-bark colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/kirre.webp; placeholder library icon today — this is the real art gap"
"klar.webp","Klar","monster","Large","top-down","Large (9 ft tall), massively built, three identical massive taloned limbs, heavy bony or chitinous plating, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/klar.webp; placeholder library icon today — this is the real art gap"
"pterran.webp","Pterran","monster","Medium","top-down","Man-sized (6 ft tall), two small hooked claws plus heavy biting jaws, carrying crafted gear, muted olive-and-bark colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/pterran.webp; placeholder library icon today — this is the real art gap"
"sand-howler.webp","Sand Howler","monster","Medium","top-down","Man-sized (4 ft long), two small hooked claws plus heavy biting jaws, hard scaled or chitinous shell, visible venom apparatus, sun-bleached sand colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/sand-howler.webp; placeholder library icon today — this is the real art gap"
"silt-horror-black.webp","Silt Horror, Black","monster","Medium","top-down","Man-sized (4 ft long), a small hooked claw plus heavy biting jaws, tough leathery hide, swims through silt, visible venom apparatus, caked in grey silt-dust","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/silt-horror-black.webp; placeholder library icon today — this is the real art gap; CHECK: attack count disagrees — ""No. of Attacks"" says 1, damage lists 2"
"silt-horror-magma.webp","Silt Horror, Magma","monster","Huge","top-down","Huge (25 ft long), massively built, eight identical appendages ranged around the body, hard scaled or chitinous shell, long grasping appendages, scorched black and ember-red","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/silt-horror-magma.webp; placeholder library icon today — this is the real art gap"
"silt-horror-red.webp","Silt Horror, Red","monster","Large","top-down","Large (12 ft), eight identical appendages ranged around the body, wearing strapped armour, long grasping appendages","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/silt-horror-red.webp; placeholder library icon today — this is the real art gap"
"silt-runner.webp","Silt Runner","monster","Small","top-down","Small (3 to 4 ft tall), two fine hooked claws plus a biting mouth set with teeth, tough leathery hide, long running legs, caked in grey silt-dust","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/silt-runner.webp; placeholder library icon today — this is the real art gap"
"sloth-athasian.webp","Sloth, Athasian","monster","Large","top-down","Large (8 ft long), massively built, two heavy clawed forelimbs plus a maw big enough to take a person whole, hard scaled or chitinous shell, long running legs, muted olive-and-bark colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/sloth-athasian.webp; placeholder library icon today — this is the real art gap"
"so-ut-rampager.webp","So-Ut (Rampager)","monster","Large","top-down","Large (10 to 15 ft long), massively built, two identical massive taloned limbs, sheathed in fused armour plating, long running legs, visible venom apparatus, dull straw-and-dust colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/so-ut-rampager.webp; placeholder library icon today — this is the real art gap"
"ssurran.webp","Ssurran","monster","Medium","top-down","Man-sized (4 to 6 ft tall), armed with hand weapons, hard scaled or chitinous shell, carrying crafted gear","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/ssurran.webp; placeholder library icon today — this is the real art gap"
"tarek.webp","Tarek","monster","Medium","top-down","Man-sized (6 ft tall), two identical small hooked claws, tough leathery hide, carrying crafted gear, dull straw-and-dust colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/tarek.webp; placeholder library icon today — this is the real art gap"
"zhackal.webp","Zhackal","monster","Tiny","top-down","Tiny (1 ft), one dominant natural weapon, likely a small biting mouth, tough leathery hide, long running legs, dust-grey rock colouring","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/creatures/zhackal.webp; placeholder library icon today — this is the real art gap"
"assistant-templar.webp","Assistant Templar (Press Gang)","npc","Medium","circular portrait","Upright person, armed with an obsidian dagger, in strapped leather corselet","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/assistant-templar.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"chchkraran.webp","Chch'kraran","npc","Medium","circular portrait","Upright person, five small hooked claws plus a biting head, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/chchkraran.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap; CHECK: attack count disagrees — ""No. of Attacks"" says 5, damage lists 6"
"citizen-typical.webp","Citizen, Typical","npc","Medium","circular portrait","Upright person, armed with a bone dagger","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/citizen-typical.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"cruerex.webp","Cruerex","npc","Medium","circular portrait","Upright person, a heavy fist","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/cruerex.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"elf-tormentor.webp","Elf (Ziggurat Tormentor)","npc","Medium","circular portrait","Upright person, armed with a bone dagger","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/elf-tormentor.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"elf-typical.webp","Elf, Typical","npc","Medium","circular portrait","Upright person, armed with a bone wrist razor","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/elf-typical.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"eramas.webp","Eramas","npc","Medium","circular portrait","Upright person, armed with a bone wrist razor, in strapped inix leather","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/eramas.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"gaj.webp","Gaj (statistics not printed in DS1)","monster","—","top-down","No printed statistics to derive from — decide the look yourself or skip","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/gaj.webp; DS1 never printed its statistics; the suite keeps the mystery-man placeholder on purpose; placeholder library icon today — this is the real art gap"
"gladiator-dwarf.webp","Gladiator, Dwarf","npc","Medium","circular portrait","Upright person, armed with a stone club, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/gladiator-dwarf.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"gladiator-human.webp","Gladiator, Human","npc","Medium","circular portrait","Upright person, armed with an obsidian sword, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/gladiator-human.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"gladiator-mul.webp","Gladiator, Mul","npc","Medium","circular portrait","Upright person, an unarmed brawler, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/gladiator-mul.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"guard-half-giant.webp","Guard, Half-Giant","npc","Medium","circular portrait","Upright person, armed with an obsidian sword, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/guard-half-giant.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"guard-human.webp","Guard, Human","npc","Medium","circular portrait","Upright person, armed with a bone spear, tough leathery hide","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/guard-human.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"guard-officer.webp","Guard Officer","npc","Medium","circular portrait","Upright person, armed with a metal dagger, hard scaled or chitinous shell","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/guard-officer.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"half-giant-soldier.webp","Half-Giant Soldier (Press Gang)","npc","Medium","circular portrait","Upright person, armed with an obsidian sword, in strapped kank armor","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/half-giant-soldier.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"hamash.webp","Hamash","npc","Medium","circular portrait","Upright person, armed with a club","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/hamash.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"kanla.webp","Kanla","npc","Medium","circular portrait","Upright person, an unarmed brawler","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/kanla.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"lissan.webp","Lissan","npc","Medium","circular portrait","Upright person, armed with a quarterstaff","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/lissan.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"luirgand.webp","Luirgand","npc","Medium","circular portrait","Upright person, armed with a bone dagger","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/luirgand.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"mahlanda.webp","Mahlanda","npc","Medium","circular portrait","Upright person, armed with a staff","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/mahlanda.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"mul-gang-leader.webp","Mul Gang Leader","npc","Medium","circular portrait","Upright person, an unarmed brawler","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/mul-gang-leader.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap; CHECK: attack count disagrees — ""No. of Attacks"" says 1, damage lists 2"
"mul-overseer.webp","Mul Overseer","npc","Medium","circular portrait","Upright person, armed with a whip","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/mul-overseer.webp; placeholder library icon today — this is the real art gap"
"nandlex.webp","Nandlex","npc","Medium","circular portrait","Upright person, armed with a bone dagger, in strapped leather armor","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/nandlex.webp; placeholder library icon today — this is the real art gap"
"noble-minor.webp","Noble, Minor","npc","Medium","circular portrait","Upright person, armed with a metal dagger","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/noble-minor.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"orman-of-the-waste.webp","Orman of the Waste","npc","Medium","circular portrait","Upright person, armed with carried weapons","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/orman-of-the-waste.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"overseer-dwarf.webp","Overseer, Dwarf","npc","Medium","circular portrait","Upright person, armed with a whip","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/overseer-dwarf.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"overseer-human.webp","Overseer, Human","npc","Medium","circular portrait","Upright person, an unarmed brawler","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/overseer-human.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"prithen.webp","Prithen","npc","Medium","circular portrait","Upright person, armed with a bone dagger, in strapped leather armor","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/prithen.webp; placeholder library icon today — this is the real art gap"
"slave-dwarf.webp","Slave, Dwarf","npc","Medium","circular portrait","Upright person, a heavy fist","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/slave-dwarf.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"slave-elf.webp","Slave, Elf","npc","Medium","circular portrait","Upright person, armed with a bone dagger","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/slave-elf.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"slave-gith.webp","Slave, Gith","npc","Medium","circular portrait","Upright person, an unarmed brawler","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/slave-gith.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"slave-human.webp","Slave, Human","npc","Medium","circular portrait","Upright person, a heavy fist","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/slave-human.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap"
"slave-mul.webp","Slave, Mul","npc","Medium","circular portrait","Upright person, an unarmed brawler","P1","C:/Projects/FoundryVTT/DakksUltimateTokens/art/npcs/slave-mul.webp; no size in data — man-sized assumed; placeholder library icon today — this is the real art gap; CHECK: attack count disagrees — ""No. of Attacks"" says 1, damage lists 2"
